dt,type_id,Только населенный пункт
2021-05-09,3,Вагай
2021-05-09,1,Караульнояр
2021-05-09,1,Сартам
2021-05-09,3,Тобольск
2021-05-09,1,Вагай
2021-05-09,3,Сартам
2021-05-09,4,Шешуки
2021-05-09,1,Яр
2021-05-09,1,Янтык
2021-05-09,1,Тушнолобово
2021-05-09,1,Менжинское
2021-05-09,3,Яр
2021-05-09,1,Тобольск
2021-05-09,4,Рябово
2021-05-09,1,Чуртан
2021-05-09,1,Заводоуковск
2021-05-09,3,Новотроицкое
2021-05-09,3,Скарединка
2021-05-09,1,Армизонское
2021-05-10,1,Ишим
2021-05-10,1,Сартам
2021-05-10,3,Вагай
2021-05-10,1,Яр
2021-05-10,3,Ишим
2021-05-10,1,Тобольск
2021-05-10,3,Сартам
2021-05-10,1,Омутинский
2021-05-10,3,Скарединка
2021-05-10,3,Тобольск
2021-05-10,4,Заводоуковск
2021-05-10,3,Заводоуковск
2021-05-10,1,Армизонское
2021-05-10,1,Вагай
2021-05-10,1,Чуртан
2021-05-10,4,Сартам
2021-05-10,1,Назарово
2021-05-10,3,Омутинский
2021-05-10,1,Менжинское
2021-05-10,1,Раздолье
2021-05-10,3,Новые Юрты
2021-05-10,4,Гладилово
2021-05-11,4,Ишим
2021-05-11,3,Вагай
2021-05-11,3,Тобольск
2021-05-11,3,Ишим
2021-05-11,1,Тобольск
2021-05-11,1,Яр
2021-05-11,3,Яр
2021-05-11,1,Ишим
2021-05-11,1,Менжинское
2021-05-11,3,Сартам
2021-05-11,3,Заводоуковск
2021-05-11,1,Раздолье
2021-05-11,1,Богандинское
2021-05-11,1,Чуртан
2021-05-11,3,Бельховка
2021-05-11,1,Караульнояр
2021-05-11,4,Черемшанка
2021-05-12,3,Вагай
2021-05-12,1,Ишим
2021-05-12,1,Яр
2021-05-12,3,Сартам
2021-05-12,3,Яр
2021-05-12,1,Муллаши
2021-05-12,3,Тобольск
2021-05-12,1,Кочкарное
2021-05-13,3,Тобольск
2021-05-13,3,Яр
2021-05-13,3,Агарак
2021-05-13,1,Яр
2021-05-13,3,Боровский
2021-05-13,1,Ялуторовск
2021-05-13,3,Вагай
2021-05-13,1,Сор
2021-05-13,1,Десятова
2021-05-13,4,Тобольск
2021-05-13,3,Сор
2021-05-13,1,Муллаши
2021-05-13,3,Ишим
2021-05-14,1,Тобольск
2021-05-14,3,Тобольск
2021-05-14,1,Вагай
2021-05-14,3,Вагай
2021-05-14,3,Сор
2021-05-14,1,Яр
2021-05-14,3,Яр
2021-05-14,1,Сор
2021-05-14,1,Ялуторовск
2021-05-14,4,Тобольск
2021-05-14,4,Рябово
2021-05-14,3,Сартам
2021-05-14,3,Караульнояр
2021-05-15,3,Вагай
2021-05-15,1,Сартам
2021-05-15,3,Яр
2021-05-15,5,Яр
2021-05-15,3,Сор
2021-05-15,1,Криволукская
2021-05-15,1,Яр
2021-05-15,3,Андреевский
2021-05-15,3,Тобольск
2021-05-15,3,Красноорловское
2021-05-16,1,Тобольск
2021-05-16,1,Яр
2021-05-16,3,Вагай
2021-05-16,3,Сор
2021-05-16,3,Яр
2021-05-16,1,Сор
2021-05-16,3,Андреевский
2021-05-16,3,Тюмень
2021-05-16,3,Тобольск
2021-05-16,3,Винзили
2021-05-17,1,Тобольск
2021-05-17,5,Тобольск
2021-05-17,3,Тобольск
2021-05-17,3,Яр
2021-05-17,3,Вагай
2021-05-17,3,Андреевский
2021-05-17,3,Караульнояр
2021-05-17,3,Туртас
2021-05-17,3,Муллаши
2021-05-17,3,Винзили
2021-05-19,3,Андреевский
2021-05-19,4,Ишим
2021-05-19,3,Тобольск
2021-05-19,3,Муллаши
2021-05-19,1,Боровский
2021-05-19,3,Яр
2021-05-19,3,Винзили
2021-05-19,1,Ишим
2021-05-19,1,Тобольск
2021-05-19,3,Ялуторовск
2021-05-20,3,Муллаши
2021-05-20,3,Яр
2021-05-20,3,Новотроицкое
2021-05-20,3,Лесное
2021-05-20,3,Ялуторовск
2021-05-20,3,Вагай
2021-05-21,3,Вагай
2021-05-21,3,Яр
2021-05-21,3,Лесное
2021-05-21,1,Яр
2021-05-22,1,Яр
2021-05-22,3,Лесное
2021-05-22,3,Вагай
2021-05-22,3,Яр
2021-05-22,4,Ишим
2021-05-22,3,Сор
2021-05-23,3,Вагай
2021-05-23,3,Уват
2021-05-23,3,Яр
2021-05-23,3,Сор
2021-05-24,3,Вагай
2021-05-24,3,Уват
2021-05-24,3,Сор
2021-05-25,3,Вагай
2021-05-25,3,Сор
2021-05-21,3,Сор
2021-05-22,3,Уват
2021-05-25,3,Яр
2020-04-14,1,Тюмень
2020-04-14,1,Антипино
2020-04-16,1,Караульнояр
2020-04-17,1,Караульнояр
2020-04-18,1,Знаменщиково
2020-04-18,1,Сор
2021-05-26,1,Яр
2021-05-26,3,Вагай
2021-05-26,1,Сор
2021-05-26,3,Тобольск
2021-05-26,1,Менжинское
2021-05-27,3,Вагай
2021-05-27,1,Менжинское
2021-05-28,1,Менжинское
2021-05-28,3,Вагай
2021-05-28,1,Тюмень
2021-05-28,3,Новопетрово
2021-05-29,3,Вагай
2021-05-29,3,Новопетрово
2021-05-29,1,Ишим
2021-05-30,3,Вагай
2021-05-30,3,Лайтамак
2021-05-30,3,Уват
2021-05-31,3,Ишим
2021-05-31,1,Тобольск
2021-06-01,3,Вагай
2021-06-01,1,Тобольск
2021-06-01,1,Сор
2021-06-01,3,Яр
2021-06-01,1,Яр
2021-06-02,3,Вагай
2021-06-02,1,Сор
2021-06-02,1,Тобольск
2021-06-02,3,Яр
2021-06-02,1,Менжинское
2021-06-02,3,Елань
2021-06-03,3,Вагай
2021-06-03,3,Яр
2021-06-03,1,Беркут
2021-06-04,3,Яр
2021-06-04,3,Вагай
2021-06-04,3,Андреевский
2021-06-05,3,Яр
2021-06-05,1,Тобольск
2021-06-05,1,Сор
2021-06-06,3,Яр
2021-06-06,3,Вагай
2021-06-06,1,Ялуторовск
2021-06-06,1,Карабаш
2021-06-06,1,Сор
2021-06-06,3,Лайтамак
2021-06-06,3,Тобольск
2021-06-07,3,Вагай
2021-06-07,3,Яр
2021-06-07,3,Ишменева
2021-06-07,3,Сор
2021-06-07,1,Вагай
2021-06-07,1,Ялуторовск
2021-06-07,1,Тюмень
2021-06-08,3,Яр
2021-06-08,3,Тюмень
2021-06-08,1,Сор
2021-06-08,3,Сор
2021-06-08,3,Вагай
2021-06-08,3,Лесное
2021-06-09,3,Вагай
2021-06-09,3,Яр
2021-06-09,3,Сор
2021-06-09,1,Армизонское
2021-06-10,1,Ишим
2021-06-10,3,Яр
2021-06-11,3,Яр
2021-06-11,3,Сор
2021-06-11,1,Вагай
2021-06-11,3,Вагай
2021-06-12,3,Вагай
2021-06-12,3,Яр
2021-06-12,3,Боровский
2021-06-12,1,Ишим
2021-06-12,2,Богандинское
2021-06-12,3,Сор
2021-06-13,4,Ишим
2021-06-13,3,Вагай
2021-06-13,3,Боровский
2021-06-13,3,Яр
2021-06-13,3,Сор
2021-06-13,2,Богандинское
2021-06-13,1,Вагай
2021-06-13,3,Богандинское
2021-06-14,3,Яр
2021-06-14,1,Вагай
2021-06-14,3,Сор
2021-06-14,3,Богандинское
2021-06-14,3,Муллаши
2021-06-14,1,Ишим
2021-06-14,3,Вагай
2021-06-14,3,Уват
2021-06-14,1,Тюмень
2021-06-14,3,Тобольск
